CANDIDATE,DISTRICT,PARTY,STATUS,TOTAL_RAISED_2024,CASH_ON_HAND_2024,PAC_1_NAME,PAC_1_AMOUNT,PAC_1_INDUSTRY,PAC_2_NAME,PAC_2_AMOUNT,PAC_2_INDUSTRY,PAC_3_NAME,PAC_3_AMOUNT,PAC_3_INDUSTRY,PAC_4_NAME,PAC_4_AMOUNT,PAC_4_INDUSTRY,PAC_5_NAME,PAC_5_AMOUNT,PAC_5_INDUSTRY,AIPAC_CONTRIBUTION_2024,AIPAC_ENDORSED,AIPAC_SUPERPACK_SUPPORT,TOP_STOCK_TRADE_1_DATE,TOP_STOCK_TRADE_1_ASSET,TOP_STOCK_TRADE_1_TYPE,INDIVIDUAL_PCT_2024,SMALL_DONOR_PCT,TOTAL_YTD_2026,YTD_2026_CASH,FUNDRAISING_PACE_VS_2024,NOTES,OPENSECRETS_URL,FEC_URL,AIPAC_URL,STOCK_DISCLOSURE_URL
Monica de la Cruz,TX-15,R,Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Gonzales,TX-23,R,Retiring Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Cuellar,TX-28,D,Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicente Gonzalez,TX-34,D,Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Casar,TX-35,D,Retiring Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doris Matsui,CA-1,D,Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Kiley,CA-1,R,Challenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Duarte,CA-13,R,Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Costa,CA-22,D,Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Latimer,NY-3,D,Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Lawler,NY-17,R,Incumbent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
