state,district,candidate,party,role,seat_status,endorsements,corporate_pac_money,aipac_money,stock_trading_notes,funds
TX,15,Monica de la Cruz,R,Incumbent,Likely Republican,,,,,
TX,23,Tony Gonzales,R,Retiring Incumbent,Tossup,,,,,
TX,28,Henry Cuellar,D,Incumbent,Tossup,,,,,
TX,34,Vicente Gonzalez,D,Incumbent,Tossup,,,,,
TX,35,Greg Casar,D,Retiring Incumbent,Tossup,,,,,
CA,1,Doris Matsui,D,Incumbent,Likely Democrat,,,,,
CA,1,Kevin Kiley,R,Challenger,Likely Democrat,,,,,
CA,13,John Duarte,R,Incumbent,Likely Democrat,,,,,
CA,22,Jim Costa,D,Incumbent,Lean/Tilt Democrat,,,,,
NY,3,George Latimer,D,Incumbent,Likely Democrat,,,,,
NY,17,Mike Lawler,R,Incumbent,Tossup,,,,,
