state,district,incumbent,party,category,notes
NY,1,Nick LaLota,R,Safe Republican,
NY,2,Andrew Garbarino,R,Safe Republican,
NY,3,Tom Suozzi,D,Likely Democrat,
NY,4,Laura Gillen,D,Safe Democrat,
NY,5,Gregory Meeks,D,Safe Democrat,
NY,6,Grace Meng,D,Safe Democrat,
NY,7,Velazquez,D,Safe Democrat,
NY,8,Hakeem Jeffries,D,Safe Democrat,
NY,9,Yvette Clarke,D,Safe Democrat,
NY,10,Dan Goldman,D,Safe Democrat,
NY,11,Nicole Malliotakis,R,Likely Republican,
NY,12,Nadler,D,Safe Democrat,
NY,13,Adriano Espaillat,D,Safe Democrat,
NY,14,Alexandria Ocasio-Cortez,D,Safe Democrat,
NY,15,Ritchie Torres,D,Safe Democrat,
NY,16,George Latimer,D,Safe Democrat,
NY,17,Michael Lawler,R,Tossup,
NY,18,Pat Ryan,D,Safe Democrat,
NY,19,Josh Riley,D,Safe Democrat,
NY,20,Paul Tonko,D,Safe Democrat,
NY,21,Stefanik,R,Likely Republican,
NY,22,John Mannion,D,Safe Democrat,
NY,23,Nick Langworthy,R,Safe Republican,
NY,24,Claudia Tenney,R,Safe Republican,
NY,25,Joseph Morelle,D,Safe Democrat,
NY,26,Tim Kennedy,D,Safe Democrat,
MA,1,Richard Neal,D,Safe Democrat,
MA,2,Jim McGovern,D,Safe Democrat,
MA,3,Lori Trahan,D,Safe Democrat,
MA,4,Jake Auchincloss,D,Safe Democrat,
MA,5,Katherine Clark,D,Safe Democrat,
MA,6,Seth Moulton,D,Safe Democrat,
MA,7,Ayanna Pressley,D,Safe Democrat,
MA,8,Stephen Lynch,D,Safe Democrat,
MA,9,Bill Keating,D,Safe Democrat,
CO,1,DeGette,D,Safe Democrat,
CO,2,Joe Neguse,D,Safe Democrat,
CO,3,Jeff Hurd,R,Likely Republican,
CO,4,Lauren Boebert,R,Likely Republican,
CO,5,Jeff Crank,R,Tossup,
CO,6,Jason Crow,D,Safe Democrat,
CO,7,Brittany Pettersen,D,Safe Democrat,
CO,8,Gabe Evans,R,Tossup,
AL,1,Moore,R,Safe Republican,
AL,2,Shomari Figures,D,Likely Republican,
AL,3,Mike Rogers,R,Safe Republican,
AL,4,Robert Aderholt,R,Safe Republican,
AL,5,Dale Strong,R,Safe Republican,
AL,6,Gary Palmer,R,Safe Republican,
AL,7,Terri Sewell,D,Safe Democrat,
TX,1,Nathaniel Moran,R,Safe Republican,
TX,2,Crenshaw,R,Likely Republican,
TX,3,Keith Self,R,Safe Republican,
TX,4,Pat Fallon,R,Safe Republican,
TX,5,Lance Gooden,R,Safe Republican,
TX,6,Jake Ellzey,R,Safe Republican,
TX,7,Lizzie Fletcher,D,Safe Democrat,
TX,8,Luttrell,R,Safe Republican,
TX,9,Green,D,Likely Republican,
TX,10,McCaul,R,Safe Republican,
TX,11,August Pfluger,R,Safe Republican,
TX,12,Craig Goldman,R,Safe Republican,
TX,13,Ronny Jackson,R,Safe Republican,
