state,district,candidate,party,role,seat_status,endorsements,corporate_pac_money,aipac_money,stock_trading_notes,funds
AK,0,Begich Challenger,D,candidate,,,,,,
AL,1,Jerry Carl,R,incumbent,,,,,,
AL,2,Barry Moore,R,incumbent,,,,,,
AL,3,Lee McInnis,D,candidate,,,,,,
AL,3,Mike Rogers,R,incumbent,,,,,,
AL,4,Robert Aderholt,R,incumbent,,,,,,
AL,5,Andrew Sneed,D,candidate,,,,,,
AL,5,Dale Strong,R,incumbent,,,,,,
AL,6,Gary Palmer,R,incumbent,,,,,,
AL,6,Shomari Figures,D,candidate,,,,,,
AL,7,Shomari Figures,R,candidate,,,,,,
AL,7,Terri Sewell,D,incumbent,,,,,,
AR,1,Crawford,R,incumbent,,,,,,
AR,1,Terri Yarbrough Green,D,candidate,,,,,,
AR,2,Hill Challenger,D,candidate,,,,,,
AR,3,Robb Ryerse,D,candidate,,,,,,
AR,3,Womack,R,incumbent,,,,,,
AR,4,Monte Stinnett,D,candidate,,,,,,
AR,4,Westerman,R,incumbent,,,,,,
AZ,1,David Schweikert,R,incumbent,,,,,,
AZ,1,Democratic Challenger (Primary concluded),D,candidate,,,,,,
AZ,1,Democratic Challenger TBD,D,candidate,,,,,,
AZ,2,Crane,R,incumbent,,,,,,
AZ,2,Justin Tomás,D,candidate,,,,,,
AZ,3,Alan Aversa,R,candidate,,,,,,
AZ,3,Ansari,D,incumbent,,,,,,
AZ,4,Greg Stanton,D,incumbent,,,,,,
AZ,4,Republican Challenger (Primary concluded),R,candidate,,,,,,
AZ,5,Biggs,R,incumbent,,,,,,
AZ,5,Elizabeth Lee,D,candidate,,,,,,
AZ,6,Democratic Challenger (Primary concluded),D,candidate,,,,,,
AZ,6,Democratic Challenger TBD,D,candidate,,,,,,
AZ,6,Juan Ciscomani,R,incumbent,,,,,,
AZ,7,Daniel Butierez,R,candidate,,,,,,
AZ,7,Grijalva,D,incumbent,,,,,,
AZ,8,Elizabeth Lee,D,candidate,,,,,,
AZ,8,Hamadeh,R,incumbent,,,,,,
AZ,9,Danielle Sterbinsky,D,candidate,,,,,,
AZ,9,Gosar,R,incumbent,,,,,,
CA,1,Doris Matsui,D,incumbent,,,,,,
CA,1,Kevin Kiley,R,candidate,,,,,,
CA,10,Jeff Frese,R,candidate,,,,,,
CA,10,Mark DeSaulnier,D,incumbent,,,,,,
CA,11,John Duarte,R,candidate,,,,,,
CA,11,Pelosi,D,incumbent,,,,,,
CA,12,David Valadao,R,candidate,,,,,,
CA,12,Lateefah Simon,D,incumbent,,,,,,
CA,13,John Duarte,R,incumbent,,,,,,
CA,14,Jim Costa,R,candidate,,,,,,
CA,14,Swalwell,D,incumbent,,,,,,
CA,15,Charles Hoelter,R,candidate,,,,,,
CA,15,Kevin Mullin,D,incumbent,,,,,,
CA,16,Jim Costa,D,incumbent,,,,,,
CA,17,Ritesh Tandon,R,candidate,,,,,,
CA,17,Ro Khanna,D,incumbent,,,,,,
CA,18,David Valadao,D,incumbent,,,,,,
CA,19,Jimmy Panetta,D,incumbent,,,,,,
CA,19,Peter Verbica,R,candidate,,,,,,
CA,2,Colby Smart,R,candidate,,,,,,
CA,2,Jared Huffman,D,incumbent,,,,,,
CA,20,Vince Fong,R,incumbent,,,,,,
CA,21,Jim Costa,D,incumbent,,,,,,
CA,21,Kyle Kirkland,R,candidate,,,,,,
CA,22,Jim Costa,D,incumbent,,,,,,
CA,23,Jay Obernolte,R,incumbent,,,,,,
CA,23,Tessa Lynn Hodge,D,candidate,,,,,,
CA,24,Bob Smith,R,candidate,,,,,,
CA,24,Salud Carbajal,D,incumbent,,,,,,
CA,25,Joe Males,R,candidate,,,,,,
CA,25,Raul Ruiz,D,incumbent,,,,,,
CA,26,Julia Brownley,D,incumbent,,,,,,
CA,27,George Whitesides,D,incumbent,,,,,,
CA,27,Jason Gibbs,R,candidate,,,,,,
CA,28,April Verlato,R,candidate,,,,,,
CA,28,Judy Chu,D,incumbent,,,,,,
CA,29,David García,R,candidate,,,,,,
CA,29,Luz Rivas,D,incumbent,,,,,,
CA,3,Kevin Kiley,R,incumbent,,,,,,
CA,3,Robb Tucker,D,candidate,,,,,,
CA,30,Laura Friedman,D,incumbent,,,,,,
CA,30,Scott Meyers,R,candidate,,,,,,
CA,31,Eric Ching,R,candidate,,,,,,
